INTOXICAÇÃO EXÓGENA - Notificações registradas no Sinan Net - São Paulo
Notificações por Município de notificação e Agente Tóxico
Período:2020
"Município de notificação";"Ign/Branco";"Medicamento";"Agrotóxico agrícola";"Agrotóxico doméstico";"Agrotóxico saúde pública";"Raticida";"Prod. veterinário";"Prod. uso domiciliar";"Cosmético";"Prod. químico";"Metal";"Drogas de abuso";"Planta tóxica";"Alimento e bebida";"Outro";"Total"
"354410 Rio Grande da Serra";9;2;-;-;-;1;-;-;-;-;-;-;-;-;-;12
"354420 Riolândia";1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"354350 Riversul";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354425 Rosana";-;8;-;3;-;-;-;1;-;-;-;-;-;-;-;12
"354430 Roseira";4;2;-;1;-;-;-;-;-;-;-;3;-;-;-;10
"354500 Salesópolis";3;4;1;-;-;1;-;2;-;-;-;-;-;-;-;11
"354515 Saltinho";1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3
"354520 Salto";3;8;-;-;-;3;-;1;-;-;-;-;-;-;-;15
"354530 Salto de Pirapora";-;7;-;-;-;-;-;1;-;1;-;-;-;-;-;9
"354540 Salto Grande";-;5;-;-;-;-;-;-;-;-;-;1;1;-;1;8
"354560 Santa Adélia";-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;3
"354570 Santa Albertina";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"354580 Santa Bárbara d'Oeste";-;21;-;-;-;-;-;1;-;2;-;3;-;2;-;29
"354600 Santa Branca";-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"354620 Santa Cruz da Conceição";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"354630 Santa Cruz das Palmeiras";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"354640 Santa Cruz do Rio Pardo";8;14;-;-;-;-;1;-;-;-;-;-;-;-;-;23
"354660 Santa Fé do Sul";2;36;1;1;-;1;-;1;-;-;-;-;-;1;-;43
"354670 Santa Gertrudes";1;13;-;-;-;1;-;4;1;-;-;7;-;1;1;29
"354680 Santa Isabel";1;10;-;1;-;1;-;1;-;-;-;-;-;1;-;15
"354700 Santa Maria da Serra";1;3;2;1;-;-;-;-;-;-;-;-;-;1;1;9
"354730 Santana de Parnaíba";1;42;-;-;-;-;-;2;-;3;1;2;-;2;1;54
"354770 Santo Anastácio";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354780 Santo André";4;84;-;1;-;2;-;1;-;-;-;16;-;1;5;114
"354810 Santo Antônio do Jardim";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"354820 Santo Antônio do Pinhal";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354850 Santos";3;68;-;1;-;-;-;9;1;-;-;6;-;-;1;89
"354860 São Bento do Sapucaí";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2
"354870 São Bernardo do Campo";4;238;-;1;-;7;-;27;4;10;-;75;1;4;7;378
"354880 São Caetano do Sul";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354890 São Carlos";-;23;1;2;-;6;1;2;-;-;-;5;1;3;-;44
"354970 São José do Rio Pardo";-;9;-;-;-;-;-;-;-;-;-;-;-;1;-;10
"354980 São José do Rio Preto";7;215;4;1;-;8;2;18;9;14;2;10;3;8;5;306
"354990 São José dos Campos";17;49;-;-;-;7;1;4;-;3;-;18;-;50;-;149
"354995 São Lourenço da Serra";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355010 São Manuel";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355020 São Miguel Arcanjo";5;21;5;1;-;1;-;2;-;-;-;-;-;-;-;35
"355030 São Paulo";190;1198;16;10;-;54;3;140;15;20;4;1722;4;72;27;3475
"355040 São Pedro";3;8;1;-;-;1;-;2;-;-;-;1;-;-;-;16
"355050 São Pedro do Turvo";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355070 São Sebastião";-;25;-;1;-;1;-;-;-;-;-;-;-;1;2;30
"355080 São Sebastião da Grama";-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;5
"355100 São Vicente";3;16;-;-;-;1;1;2;-;-;-;6;-;1;-;30
"355130 Sebastianópolis do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"355160 Serra Negra";3;6;1;-;-;-;-;3;1;-;-;-;-;-;-;14
"355170 Sertãozinho";1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"355190 Severínia";2;3;-;-;-;-;-;1;-;-;-;1;-;-;-;7
"355220 Sorocaba";7;103;2;2;-;9;3;4;-;-;-;4;-;3;-;137
"355230 Sud Mennucci";-;7;8;-;6;3;-;3;1;1;-;-;-;-;5;34
"355240 Sumaré";2;55;-;1;-;3;-;1;2;1;-;1;-;-;-;66
"355250 Suzano";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355260 Tabapuã";1;5;-;-;-;-;-;-;-;-;-;2;-;-;-;8
"355270 Tabatinga";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355280 Taboão da Serra";20;127;-;-;-;10;-;9;-;1;-;4;-;-;-;171
"355300 Taguaí";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"355310 Taiaçu";1;3;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"355320 Taiúva";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355330 Tambaú";-;7;-;-;-;1;-;-;-;-;-;-;-;-;-;8
"355340 Tanabi";-;19;1;-;2;1;-;-;-;-;-;1;-;-;1;25
"355350 Tapiraí";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355360 Tapiratiba";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355365 Taquaral";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355370 Taquaritinga";6;21;-;-;-;-;-;-;-;-;-;-;-;-;-;27
"355380 Taquarituba";13;5;-;-;-;1;-;-;-;-;-;-;-;-;-;19
"355385 Taquarivaí";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355400 Tatuí";-;14;-;1;-;1;-;-;-;-;-;1;-;-;-;17
"355410 Taubaté";1;81;-;-;-;1;-;9;1;-;-;82;-;2;2;179
"355430 Teodoro Sampaio";-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"355450 Tietê";-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"355470 Torrinha";-;3;-;-;-;1;-;-;-;2;-;-;-;-;-;6
"355500 Tupã";2;30;-;-;-;1;1;1;-;-;-;-;-;-;-;35
"355510 Tupi Paulista";-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"355535 Ubarana";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355540 Ubatuba";3;32;-;1;-;-;-;2;-;-;-;8;-;1;-;47
"355560 Uchoa";2;4;-;-;-;-;-;3;-;2;-;1;-;3;1;16
"355570 União Paulista";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355580 Urânia";-;5;-;-;-;-;-;-;-;-;-;-;-;-;1;6
"355600 Urupês";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"355610 Valentim Gentil";-;8;-;-;-;1;-;1;-;1;-;-;-;-;-;11
"355620 Valinhos";13;27;2;1;-;4;-;3;-;2;-;4;-;-;1;57
"355630 Valparaíso";-;7;-;-;-;-;-;1;-;-;-;-;-;2;-;10
"355640 Vargem Grande do Sul";1;12;-;-;1;3;-;3;-;-;-;-;1;-;-;21
"355645 Vargem Grande Paulista";1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"355650 Várzea Paulista";-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"355670 Vinhedo";1;21;-;-;-;3;-;1;-;-;-;2;-;1;1;30
"355680 Viradouro";-;4;-;-;-;-;-;-;-;-;-;1;-;-;1;6
"355700 Votorantim";1;28;-;-;-;1;-;1;-;1;-;3;-;-;-;35
"355710 Votuporanga";2;60;3;2;1;1;2;11;-;1;-;4;1;-;1;89
"Total";1003;7073;184;107;15;364;63;635;69;204;15;2416;31;648;217;13044
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Excluídos casos não residentes no Brasil.
 Excluídas as duplicidades
 Períodos Disponíveis / Período - Correspondem aos anos de notificação dos casos.
 Para casos de exposição ao trabalho considerar apenas a categoria “Sim”.
 CAT - Comunicação de acidente de trabalho
 Dados de 2007 e 2009 atualizados em 16/03/2015.
 Dados de 2010 atualizado em 01/11/2013.
 Dados de 2011 atualizado em 28/08/2014.
 Dados de 2012 atualizado em 28/05/2015.
 Dados de 2013 atualizado em 26/08/2017.
 Dados de 2014 atualizado em 15/12/2018.
 Dados de 2015 atualizado em 24/11/2018.
 Dados de 2016 atualizado em 13/09/2019.
 Dados de 2017 atualizado em 18/04/2020, sujeitos à revisão.
 Dados de 2018 atualizado em 16/05/2020, sujeitos à revisão.
 Dados de 2019 atualizado em 09/05/2020, sujeitos à revisão.
 Dados de 2020 atualizado em 13/05/2020, sujeitos à revisão.
 *Dados disponibilizados no TABNET em 07/2020
 
